DateTime,air_pressure,humidity,rainfall,temperature,wind_direction,wind_speed,PM2.5,PM10,Month,day_of_week
2016-01-08,1011.63,85.0,0.0,27.6,0.0,0.0,20.0,38.0,1,4
2016-01-09,1011.52,83.0,0.0,27.7,30.0,1.5,20.0,40.0,1,5
2016-01-10,1011.525,80.0,0.0,27.5,70.0,5.0,20.0,38.0,1,6
2016-01-11,1011.575,87.0,0.0,27.45,50.0,3.5,20.0,40.0,1,0
2016-01-12,1010.54,80.5,0.0,27.3,10.0,2.0,20.0,43.0,1,1
2016-01-13,1010.185,81.0,28.2,28.2,30.0,3.5,20.0,35.0,1,2
2016-01-14,1009.325,87.0,0.6,27.3,0.0,0.0,20.0,24.0,1,3
2016-01-15,1008.11,84.0,87.6,27.8,0.0,0.0,13.0,25.0,1,4
2016-01-16,1008.45,93.5,71.0,25.8,0.0,0.0,13.0,26.0,1,5
2016-01-17,1008.84,87.0,4.2,27.15,85.0,3.0,13.0,29.0,1,6
2016-01-18,1008.42,88.5,0.0,28.15,0.0,0.0,12.0,30.0,1,0
2016-01-19,1008.835,81.5,0.0,28.0,25.0,1.5,9.0,26.0,1,1
2016-01-20,1011.175,82.5,0.0,27.25,10.0,1.5,8.0,27.0,1,2
2016-01-21,1010.645,81.0,1.4,28.05,75.0,3.0,7.0,30.0,1,3
2016-01-22,1011.255,88.0,0.0,27.3,0.0,0.0,11.0,26.0,1,4
2016-01-23,1011.945,76.5,0.0,28.15,15.0,3.5,14.0,35.0,1,5
2016-01-24,1012.69,75.0,0.4,28.6,115.0,6.0,18.0,38.0,1,6
2016-01-25,1012.225,78.5,27.8,27.8,80.0,5.0,18.0,33.0,1,0
2016-01-26,1011.855,88.0,17.6,25.95,40.0,4.0,18.0,33.0,1,1
2016-01-27,1011.035,87.0,22.2,26.9,75.0,4.5,25.0,24.0,1,2
2016-01-28,1010.66,88.0,33.5,27.5,85.0,4.5,25.0,34.0,1,3
2016-01-29,1010.98,88.0,12.8,27.5,20.0,1.5,25.0,30.0,1,4
2016-01-30,1010.105,85.5,0.0,27.9,40.0,3.0,25.0,34.0,1,5
2016-01-31,1010.345,86.0,0.0,27.5,20.0,1.5,19.0,40.0,1,6
2016-02-01,1010.285,79.5,0.0,27.65,20.0,2.5,19.0,37.0,2,0
2016-02-02,1010.295,78.5,0.0,27.950000000000003,0.0,0.0,22.0,39.0,2,1
2016-02-03,1009.79,74.0,0.0,28.15,80.0,5.5,14.0,35.0,2,2
2016-02-27,1012.61,80.5,0.0,27.7,40.0,4.0,24.0,40.0,2,5
2016-02-28,1013.28,80.5,0.0,27.75,85.0,6.0,25.0,42.0,2,6
2016-02-29,1013.235,81.5,0.0,27.35,80.0,5.5,25.0,42.0,2,0
2016-03-01,1012.505,81.0,0.0,27.3,45.0,3.0,25.0,53.0,3,1
2016-03-02,1012.64,79.0,0.0,27.5,50.0,3.5,26.0,50.0,3,2
2016-03-03,1012.23,80.0,0.0,27.200000000000003,95.0,6.0,21.0,51.0,3,3
2016-03-04,1010.99,78.0,0.0,27.700000000000003,50.0,3.5,21.0,51.0,3,4
2016-03-05,1010.565,81.5,0.0,27.7,10.0,3.0,21.0,44.0,3,5
2016-03-06,1010.465,86.5,0.0,28.05,70.0,6.5,21.0,42.0,3,6
2016-03-07,1009.655,80.0,0.0,27.9,50.0,6.5,28.0,40.0,3,0
2016-03-08,1008.81,79.5,0.0,27.65,0.0,0.0,28.0,37.0,3,1
2016-03-09,1008.97,80.5,0.0,27.85,35.0,3.0,28.0,44.0,3,2
2016-03-10,1010.095,82.5,0.0,27.55,0.0,0.0,28.0,42.0,3,3
2016-03-11,1010.315,80.5,0.0,28.05,25.0,3.0,30.0,47.0,3,4
2016-03-12,1010.15,80.5,0.6,28.65,45.0,5.5,38.0,29.0,3,5
2016-03-13,1010.98,84.5,0.0,28.45,50.0,3.0,38.0,32.0,3,6
2016-03-14,1010.48,82.5,0.0,28.25,0.0,0.0,23.0,36.0,3,0
2016-03-15,1010.12,79.5,0.0,28.15,0.0,0.0,17.0,38.0,3,1
2016-03-16,1009.725,81.0,0.0,28.25,0.0,0.0,18.0,39.0,3,2
2016-03-17,1009.665,81.0,0.0,28.6,10.0,1.5,24.0,43.0,3,3
2016-03-18,1009.275,83.0,0.0,28.25,0.0,0.0,23.0,48.0,3,4
2016-03-19,1008.63,82.0,0.0,27.65,0.0,0.0,26.0,49.0,3,5
2016-03-20,1009.15,81.5,0.0,27.9,0.0,0.0,21.0,42.0,3,6
2016-03-21,1008.05,81.5,0.0,27.2,15.0,2.0,21.0,46.0,3,0
2016-03-22,1007.87,81.5,0.0,28.55,10.0,1.5,23.0,45.0,3,1
2016-03-23,1008.38,85.5,0.0,29.65,0.0,0.0,29.0,57.0,3,2
2016-03-24,1009.845,81.0,0.0,28.3,0.0,0.0,33.0,60.0,3,3
2016-03-25,1011.325,75.5,0.0,28.6,0.0,0.0,24.0,45.0,3,4
2016-03-26,1012.385,78.0,0.0,29.15,60.0,6.0,15.0,40.0,3,5
2016-03-27,1012.12,76.0,0.0,29.1,75.0,5.5,13.0,41.0,3,6
2016-03-28,1011.795,83.0,0.0,28.25,65.0,4.0,18.0,49.0,3,0
2016-03-29,1012.37,80.0,0.0,28.5,55.0,5.0,27.0,64.0,3,1
2016-03-30,1011.715,76.0,0.0,28.45,65.0,5.0,31.0,67.0,3,2
2016-03-31,1010.895,77.5,0.0,27.85,30.0,3.0,31.0,64.0,3,3
2016-04-01,1009.73,81.0,0.0,28.4,0.0,0.0,21.0,47.0,4,4
2016-04-02,1009.49,83.0,0.0,29.0,65.0,4.0,15.0,38.0,4,5
2016-04-03,1009.87,85.0,2.6,29.0,45.0,3.5,12.0,35.0,4,6
2016-04-04,1009.34,86.5,0.0,28.2,20.0,1.5,17.0,39.0,4,0
2016-04-05,1009.21,86.5,0.0,28.1,20.0,1.5,24.0,44.0,4,1
2016-04-06,1009.165,84.0,0.0,28.1,0.0,0.0,15.0,34.0,4,2
2016-04-07,1009.345,77.0,0.0,28.6,0.0,0.0,20.0,41.0,4,3
2016-04-08,1009.04,81.0,0.0,28.55,0.0,0.0,24.0,46.0,4,4
2016-04-09,1008.885,83.0,0.0,29.55,30.0,1.5,22.0,43.0,4,5
2016-04-10,1008.84,81.0,0.0,29.85,55.0,3.5,18.0,39.0,4,6
2016-04-11,1007.53,76.5,0.0,30.3,0.0,0.0,21.0,45.0,4,0
2016-04-12,1007.52,69.0,0.0,30.75,0.0,0.0,30.0,52.0,4,1
2016-04-13,1007.405,74.0,0.0,30.4,0.0,0.0,25.0,54.0,4,2
